Company Name,Link,Description,Location,get connected
Hyperscience,https://hyperscience.com/,"Hyperscience is transforming the future of work to elevate human potential. Our human-centered approach to automation enables a new era of human and machine collaboration that delivers dramatically improved organizational agility, without the legacy cost and burden of change management. By combining data, people, and processes into digital assembly lines, the Hyperscience Platform turns complex processes into simple, configurable workflows. Our industry-leading machine learning technology continuously learns and evolves, to involve humans only when needed.","New York,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Hyperscience&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Mast Reforestation,https://mastreforest.com/,"Mast Reforestation is a climate tech company with a mission to make reforestation scalable. As bigger, hotter, and more frequent fires increasingly destroy forested land each year, Mast facilitates faster, more resilient forest regeneration. Mast provides vertically integrated reforestation services to get forest restoration projects up and running in weeks, not years. Services include seed collection, seedling cultivation, site preparation, seedling hand planting, aerial drone-based seeding, and ongoing site monitoring. To fund its projects and open new revenue streams for landowners, Mast sells forward-looking carbon removal credits that allow companies seeking carbon neutrality to invest in reforestation projects for 200 years or more.","Seattle,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Mast%20Reforestation&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Stardog,https://www.stardog.com/,"Stardog is a reusable, scalable knowledge graph platform that enables enterprises to unify all their data, including data sources and databases of every type, to get the answers needed to drive business decisions. Stardog’s enterprise customers include Fortune 500 companies in finance, healthcare, life sciences, energy, media, and government.","Arlington,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Stardog&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
UrbanFootprint,http://urbanfootprint.com/,"UrbanFootprint helps governments and enterprises adapt to a resilient and sustainable future. With numerous indices on the built and natural environment, climate risk, and community resilience, our data, mapping and analytics platform enables users to distill a complex collection of factors on land use, infrastructure, environment, natural hazards, and communities into actionable insights at national, state, city and neighborhood levels.. Through these capabilities, UrbanFootprint empowers our customers to optimize the delivery of benefits such as food security and rental assistance, strengthen infrastructure and prioritize energy grid investments, and recover stronger from health and natural hazard events.","Berkeley,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=UrbanFootprint&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Tamr,https://www.tamr.com/,"Tamr automates processes to clean, unify, and connect data that is siloed across the enterprise to optimize key decisions. Tamr’s enterprise data preparation platform uses machine learning with human-guided input to automate the mastering and organization of an enterprise’s data (suppliers, events, programs, transactions, etc.).","Cambridge,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Tamr&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
StreamSets,https://www.streamsets.com/,"At StreamSets, our mission is to make data engineering teams wildly successful. Only StreamSets offers a platform dedicated to building smart data pipelines to power DataOps across hybrid and multi-cloud architectures. That’s why the largest companies in the world trust StreamSets to power millions of data pipelines for modern business intelligence, data science, and AI/ML. With StreamSets, data engineers spend less time fixing and more time doing. The StreamSets vision is guided by DataOps, a set of practices and technologies that operationalizes data management and integration to ensure resilience and agility despite constant change. StreamSets technologies are architected with a modern approach to data engineering integration and operations. The StreamSets DataOps platform enables companies to design, deploy, monitor and govern smart data pipelines at scale. StreamSets Control Hub, a cloud-native control plane to design, is used to monitor and manage complex data movement. Deploy using StreamSets Data Collector, an execution engine for fast data ingestion, or StreamSets Transformer, a Spark-native execution engine for ETL and machine learning.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=StreamSets&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Trifacta,https://www.trifacta.com/,"At Trifacta, we’re focused on building software that helps individuals and organizations unlock the potential of their data by providing a new approach to how data is explored and prepared for analysis. Whether you’re trying to improve the efficiency of an existing analysis process or utilize new sources of data for an analytics initiative, Trifacta’s data wrangling solutions will empower you to do more with data of all shapes and sizes.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Trifacta&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Atakama,https://atakama.com/,"Although strong encryption has long been available for data at rest, the protection provided by encryption has significant limitations and costs, particularly regarding the management of encryption keys, passwords and/or smartcards. Atakama reduces drawbacks of traditional encryption systems via threshold cryptography. By splitting encryption keys into pieces and distributing them across disparate devices, Atakama eradicates central points of failure and /or attack, mitigates weaknesses in passwords and smartcard systems and eliminates reliance on identity and access management-based key storage. Atakama provides resistance to data exfiltration even if an adversary has surreptitiously established a beachhead into a network.","New York,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Atakama&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Aerospike,https://www.aerospike.com/,"The Aerospike Real-time Data Platform enables organizations to act instantly across billions of transactions while reducing server footprint up to 80%. The Aerospike multi-cloud platform powers real-time applications with predictable sub-millisecond performance up to petabyte scale with five-nines uptime with globally distributed, strongly consistent data. Applications built on the Aerospike Real-time Data Platform fight fraud, provide recommendations that dramatically increase shopping cart size, enable global digital payments, and deliver hyper-personalized user experiences to tens of millions of customers. Customers such as Airtel, Experian, European Central Bank, Nielsen, PayPal, Snap, Verizon Media and Wayfair rely on Aerospike as their data foundation for the future.","Mountain View,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Aerospike&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Nucleus Security,https://nucleussec.com/,"Nucleus is a preemptive cybersecurity solution that automates vulnerability management workflows, enabling security and Development teams to remediate vulnerabilities exponentially faster and more effectively. With a unified platform that centralizes all sources of vulnerability data that enriches it using threat intelligence, and automates the analysis, teams can improve current vulnerability management processes that are manual, prone to error, disconnected, to  make 10x faster decisions and remediate security threats.","Sarasota,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Nucleus%20Security&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Premise Data,https://www.premise.com/,"Premise modernizes field data collection by providing real-time data collection and analytics software that gives their clients access to a network of 2.4 million local data collectors across 109 countries. Their platform empowers decision-makers with high-quality data and analytics for assessment, monitoring and evaluation purposes.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Premise%20Data&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Fraym,https://fraym.io/,"Fraym is mapping humanity. Our machine learning technology produces detailed spatial data on population attributes, attitudes and behaviors. Fraym allows you to zoom in on nearly any community in the world and know what people look like, what they think, and how they behave.","Arlington,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Fraym&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Labelbox,https://labelbox.com/,"Labelbox enables government agencies to optimize the entire process of training data creation across the supervised learning lifecycle in a single platform. Teams iterate faster on AI/ML model training with actionable analytics, labeling automation, and model error analysis. They can also easily and securely employ a variety of labeling workforces, including US citizen and DOD/IC cleared labelers, enabling large-scale annotation quickly.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Labelbox&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Imandra,https://www.imandra.ai/,"Imandra’s groundbreaking AI helps ensure the algorithms we rely on are safe, explainable and fair. Imandra is a cloud-scale automated reasoning system bringing rigor and governance to the world’s most critical algorithms.","Austin,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Imandra&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
DataRobot,https://www.datarobot.com/,DataRobot is the leading end-to-end enterprise AI platform that automates and accelerates every step of your path from data to value.,"Boston,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=DataRobot&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Catalytic,https://www.catalytic.com/,"Catalytic automates organizations’ critical operations through AI-driven automation. They offer a SaaS platform that brings modern work bots to recurring business processes, allowing people to focus on higher value tasks while letting AI complete processes that computers can do more effectively. It supercharges customer teams by automating boring tasks to optimize processes intelligently.","Chicago,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Catalytic&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Sequentum,https://www.sequentum.com/,"Sequentum provides a holistic approach to web data extraction in order to meld the art and science of sourcing data from the public web. Sequentum provides customers with publicly sourced web data of the highest quality & enables them to transform this data into actionable business insights while adhering to privacy, security & compliance regulations.","New York,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Sequentum&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Builder,https://builder.ai/,"Builder’s turnkey platform builds, runs and scales just about anything customers can think of. Builder’s human-assisted AI can build tailor-made software using the collective knowledge of what has been built before; an assembly line connects reusable features with specialist creators. Builder allows customers to build an app fast, without the usual risks – guaranteed costs, set timelines and no techie skills needed. They believe that building software should be as easy as ordering pizza.","London,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Builder&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
New Relic,https://www.newrelic.com/,"New Relic offers a SaaS Platform that enables customers to track changes across the breadth of an organization’s apps and services with clarity and full context. The New Relic user interface provides a single, comprehensive view of a customer’s stack—every change, every second, in full context. New Relic also offers mobile monitoring solutions for iOS and Android applications.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=New%20Relic&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Digital.ai,https://digital.ai/,"Digital.ai combines innovative technologies in agile planning, application protection, software delivery, and artificial intelligence into a unified Value Stream Platform. Digital.ai makes it possible to connect software development and delivery efforts to strategic business outcomes and create secure digital experiences customers trust.  Digital.ai helps federal agencies accelerate their digital transformation initiatives — connecting software planning, delivery, and application security in the first intelligent Value Stream Platform that provides the end-to-end visibility organizations need to deliver value and drive growth.","Plano,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Digital.ai&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Virtru,https://www.virtru.com/,"At Virtru, we empower organizations to easily unlock the power of data while maintaining control, everywhere it’s stored and shared. Virtru is trusted by more than 7,000 global customers to power their Zero Trust strategies and safeguard their most sensitive data in accordance with the world’s strictest security standards. Creators of TDF (Trusted Data Format), the open industry standard for persistent data protection, Virtru provides encryption technology for data shared through email & collaboration tools, cloud environments, and edge devices.","Washington,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Virtru&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
vFunction,https://vfunction.com/,"vFunction is the first and only AI-powered platform for developers and architects that intelligently and automatically transforms legacy monolithic applications into microservices, restoring engineering velocity and optimizing the benefits of the cloud. vFunction’s award-winning and patented platform eliminates the time, risk, and cost constraints with its scalable, repeatable factory model purpose-built for cloud native modernization. With vFunction, leading companies around the world are accelerating the journey to cloud-native architecture and gaining a competitive edge.","Palo Alto,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=vFunction&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Qintel,https://www.qintel.com/,"Qintel is a cyber threat intelligence company based in Pittsburgh, PA. The company has been in business for 13 years, and serves both government and commercial customers. Qintel’s unique capabilities stem from their ability to obtain data from well over 650,000 different multi-domain sources, which they use to develop actionable intelligence on a myriad of terrorist, nation state, and criminal threats. To navigate their data, a team of Qintel analysts with decades of hands-on experience investigating cyber threats created an intelligence discovery platform that aggregates synergistic data streams curated specifically to provide the missing pieces and context to an investigation or inquiry that leads to actionable intelligence. In addition to this platform, Qintel uses a suite of other proprietary tools to enhance specific selectors based upon intelligence requirements. These tools provide a curated feed of anonymization infrastructure metadata and compromised credentials related to multiple advanced persistent threats from across cyberspace.  ","Pittsburgh,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Qintel&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Fairmarkit,https://www.fairmarkit.com/,"Fairmarkit is the intelligent sourcing platform that empowers organizations to more efficiently purchase the goods and services they need. By equipping procurement and supply-chain teams with automation and data, Fairmarkit promotes competitive bidding while reducing manual work within existing processes. Leveraged by innovative procurement departments across a number of industries, such as Univision, ServiceNow, and the MBTA, Fairmarkit aims to revolutionize the way organizations make purchases.","Boston,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Fairmarkit&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Coseer,https://www.coseer.com/,"Coseer’s AI understands human language to search for actionable knowledge in documents, databases, online, and beyond. Its ACTUATEBOT interfaces can integrate Natural Language Search (NLS) with customer IT systems to make results immediately actionable. These customizable cognitive platforms allow enterprises to develop custom products that automate business by finding, sorting, classifying, and analyzing natural language text.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Coseer&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Everlaw,https://www.everlaw.com/,"Everlaw is a cloud-only eDiscovery platform for document analysis offering robust features, beginning at data ingestion and extending through review, collaboration, and production. Everlaw is accessible to users with an internet connection and modern web browser on nearly any device. The company was founded as a plaintiff’s side solution, solving the most challenging hardships experienced in electronic discovery, like combing through massive document dumps on a budget, engineering around the receipt of poorly structured data, and effective case collaboration across multiple law firms.","Oakland,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Everlaw&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Mythic,https://www.mythic-ai.com/,"Mythic has developed the Intelligence Processing Unit (IPU) which allows AI processing at the edge with significantly lower power and higher throughput than traditional CPU or GPU computing. By leveraging Mythic’s advanced in-memory computation, this will enable drones, devices, and more to leverage AI seamlessly at the edge and in low power or disconnected environment.","Austin,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Mythic&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Pathmind,https://www.pathmind.com/,"Pathmind is an enterprise software company that developed the world’s first open-source, distributed, commercial-grade deep-learning framework for Java: Deeplearning4j.org. Pathmind allows organizations to develop AI-based applications that analyze media, perform image and sound recognition, and recognize complex data patterns.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Pathmind&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Alation,https://www.alation.com/,"Alation is the leader in enterprise data intelligence solutions including data search & discovery, data governance, data stewardship, analytics, and digital transformation. Alation’s initial offering dominates the data catalog market. Thanks to its powerful Behavioral Analysis Engine, inbuilt collaboration capabilities, and open interfaces, Alation combines machine learning with human insight to successfully tackle even the most demanding challenges in data and metadata management. More than 300 enterprises drive data culture, improve decision making, and realize business outcomes with Alation including AbbVie, American Family Insurance, Cisco, Exelon, Fifth Third Bank, Finnair, Munich Re, NASDAQ, New Balance, Parexel, Pfizer, US Foods, and Vistaprint.","Redwood City,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Alation&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
GraphGrid,https://www.graphgrid.com/,GraphGrid creates a Connected Data Platform (CDP) that helps Data and Analytics (D&A) leaders utilize the latest advances in knowledge graph (KG) and AI technology to deliver high-value solutions in weeks instead of years with their current team. D&A leaders that use GraphGrid’s CDP can rapidly develop with SDKs/APIs in languages known by their team and deploy to production these high-value solutions that combine KG & AI together without years long upfront and ongoing investment in research and development of the integrated architecture.,"Wooster,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=GraphGrid&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
GridGain,https://www.gridgain.com/,"GridGain is an in-memory computing platform, built on Apache Ignite, which dramatically accelerates and scales existing data-intensive applications across a distributed computing architecture. The comprehensive in-memory computing solutions includes an in-memory data grid, in-memory database, a streaming analytics engine, and a machine learning framework. The next generation GridGain platform can function as an in-memory data grid or as a memory-centric database, combining the speed of in-memory computing with the durability of disk-based storage.","Foster City,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=GridGain&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Mark Labs,https://www.marklabs.co/,"MARK Labs was founded in 2015 with the goal of quantifying social impact data with AI technology. MARK Labs offers solutions to charity organizations and foundations to enable them to measure the social impact and productiveness of grants, awards, and charity programs. Organizations can then track and quantify their impact to assess future investments.","Washington,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Mark%20Labs&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
ThoughtSpot,https://www.thoughtspot.com/,"ThoughtSpot makes it easy for anyone to get answers from agency data in seconds. Rather than relying on reports or dashboards, ThoughtSpot brings Google-like simplicity to enterprise data: simply search to analyze your data and get automated insights with a single click. ThoughtSpot also auto-analyzes your data to identify outliers or anomalies, putting the power of 1000 analysts in your hands.","Sunnyvale,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=ThoughtSpot&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Uptake,https://www.uptake.com/,"Uptake is an industrial AI software company that aims to help companies digitally transform with open, purpose-built software. Built around a foundation of data science and machine learning, Uptake’s core products include an Asset Performance Management application and a fully managed platform that enables companies to identify systems/equipment that are at risk of malfunctioning before they do. Uptake’s technology is sensor agnostic and can analyze anything with gears or torque.","Chicago,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Uptake&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Veraset,https://www.veraset.com/,"With hundreds of billions of anonymized GPS signals collected, cleansed, and validated daily, Veraset Movement is the trusted dataset of choice for innovators building models and products powered by location data.","New York,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Veraset&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
ChromaWay,https://www.chromaway.com/,"ChromaWay has a complete open source enterprise platform that combines the best of blockchain technology with the scale of databases. ChromaWay’s permissioned, consortium blockchain solutions are a strong fit for the high security, privacy, and reliability environment required by government agencies. ChromaWay’s product solutions are compatible with relational databases prevalent in the federal government space.","Stockholm,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=ChromaWay&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Constellation Labs,https://www.constellationnetwork.io/,"Constellation is the world’s only Blockchain technology designed for Big Data, providing infrastructure for an open decentralized data marketplace and an enterprise grade software solution for data provenance and integrity. It’s secure, cost-effective, scalable, and easy to integrate. Furthermore, Constellation provides data dependency graphs on a decentralized DAG (directed acyclic graph) network – an evolution of existing blockchain technologies. The solution not only secures data pipelines through encryption but creates an audit trail of data downstream to enable a live overview of the status of any data source.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Constellation%20Labs&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
identitii,https://www.identitii.com/,"identitii allows financial institutions to enrich payment messages with detailed information about actors and purpose. Leveraging blockchain technology, identitii can provide a data rich secure token to any information exchange. Think of this as the unique ‘identity’ of the transaction and it can be utilized in non-financial use cases.","Sydney,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=identitii&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
Averon,https://www.averon.com/,"Averon provides secure authentication with real-time signaling from mobile carriers, invisible to the user — no username, password, or apps. Customers are able to verify the identity of employees, beneficiaries, constituents, and contractors with certainty and through existing devices and systems.","San Francisco,",https://app.miniextensions.com/form/JRDGYk9hMF0rOmx2IgHk/?prefill_Status=Pending&prefill_Company=Averon&prefill_Request%20Note=I%20would%20like%20to%20be%20connected%20with%20this%20company%2C%20thank%20you%21
